component_id,lot_id,initial_measurement,burn_in_24h,burn_in_96h,final_burn_in_reading,label,defect_pattern
COMP-00117,LOT-012,9.475,11.933,15.06,20.538,ANOMALY,Wear-out
COMP-00118,LOT-012,9.929,11.903,14.852,19.68,ANOMALY,Wear-out
COMP-00119,LOT-012,9.261,9.219,9.263,9.23,NORMAL,
COMP-00120,LOT-012,9.481,11.996,14.962,20.461,ANOMALY,Infant Mortality
COMP-00121,LOT-013,9.317,9.28,9.463,9.279,NORMAL,
COMP-00122,LOT-013,9.142,9.149,9.138,9.312,NORMAL,
COMP-00123,LOT-013,9.942,10.123,12.393,21.673,ANOMALY,Random Failure
COMP-00124,LOT-013,9.289,9.406,9.244,9.461,NORMAL,
COMP-00125,LOT-013,9.798,12.047,15.341,21.33,ANOMALY,Wear-out
COMP-00126,LOT-013,9.052,8.973,9.168,9.097,NORMAL,
COMP-00127,LOT-013,9.641,12.298,15.906,20.688,ANOMALY,Early Life Failure
COMP-00128,LOT-013,9.717,10.065,13.149,19.735,ANOMALY,Random Failure
COMP-00129,LOT-013,9.713,9.64,9.704,9.668,NORMAL,
COMP-00130,LOT-013,9.671,9.673,9.81,9.76,NORMAL,
COMP-00131,LOT-014,9.372,9.335,9.326,9.331,NORMAL,
COMP-00132,LOT-014,9.317,12.838,16.547,20.473,ANOMALY,Infant Mortality
COMP-00133,LOT-014,9.676,9.796,9.653,9.824,NORMAL,
COMP-00134,LOT-014,9.837,9.784,9.817,9.813,NORMAL,
COMP-00135,LOT-014,9.385,9.346,9.387,9.506,NORMAL,
COMP-00136,LOT-014,9.447,9.528,9.413,9.427,NORMAL,
COMP-00137,LOT-014,9.55,9.6,9.516,9.555,NORMAL,
COMP-00138,LOT-014,9.059,8.984,9.129,9.108,NORMAL,
COMP-00139,LOT-014,9.369,13.085,14.509,20.53,ANOMALY,Infant Mortality
COMP-00140,LOT-014,9.465,12.583,16.738,19.398,ANOMALY,Wear-out
COMP-00141,LOT-015,9.893,9.912,9.848,9.867,NORMAL,
COMP-00142,LOT-015,9.368,11.551,15.505,21.017,ANOMALY,Infant Mortality
COMP-00143,LOT-015,9.701,9.631,9.726,9.774,NORMAL,
COMP-00144,LOT-015,9.543,9.546,9.616,9.529,NORMAL,
COMP-00145,LOT-015,9.613,9.572,9.63,9.586,NORMAL,
COMP-00146,LOT-015,9.615,12.717,14.134,21.202,ANOMALY,Infant Mortality
COMP-00147,LOT-015,9.3,9.376,9.39,9.343,NORMAL,
COMP-00148,LOT-015,9.893,12.174,14.651,20.241,ANOMALY,Wear-out
COMP-00149,LOT-015,9.279,9.308,9.417,9.343,NORMAL,
COMP-00150,LOT-015,9.891,11.948,14.223,20.491,ANOMALY,Infant Mortality
COMP-00151,LOT-016,9.735,9.851,9.847,9.791,NORMAL,
COMP-00152,LOT-016,9.736,10.015,13.874,20.886,ANOMALY,Random Failure
COMP-00153,LOT-016,9.662,12.753,15.849,19.317,ANOMALY,Infant Mortality
COMP-00154,LOT-016,9.357,9.39,9.484,9.313,NORMAL,
COMP-00155,LOT-016,9.213,9.185,9.234,9.216,NORMAL,
COMP-00156,LOT-016,9.623,11.717,15.764,21.153,ANOMALY,Infant Mortality
COMP-00157,LOT-016,9.483,9.518,9.477,9.578,NORMAL,
COMP-00158,LOT-016,9.555,9.6,9.579,9.551,NORMAL,
COMP-00159,LOT-016,9.233,9.27,9.196,9.338,NORMAL,
COMP-00160,LOT-016,9.77,9.77,9.799,9.797,NORMAL,
COMP-00161,LOT-017,9.069,9.006,9.024,9.217,NORMAL,
COMP-00162,LOT-017,9.257,9.226,9.338,9.372,NORMAL,
COMP-00163,LOT-017,9.904,12.558,15.108,19.758,ANOMALY,Wear-out
COMP-00164,LOT-017,9.227,9.252,9.238,9.325,NORMAL,
COMP-00165,LOT-017,9.476,9.502,9.553,9.57,NORMAL,
COMP-00166,LOT-017,9.407,9.651,12.337,19.988,ANOMALY,Random Failure
COMP-00167,LOT-017,9.55,9.513,9.511,9.669,NORMAL,
COMP-00168,LOT-017,9.497,9.544,9.625,9.601,NORMAL,
COMP-00169,LOT-017,9.242,9.163,9.226,9.297,NORMAL,
COMP-00170,LOT-017,9.537,12.816,14.344,21.785,ANOMALY,Early Life Failure
COMP-00171,LOT-018,9.113,9.098,9.105,9.242,NORMAL,
COMP-00172,LOT-018,9.36,9.381,9.51,9.378,NORMAL,
COMP-00173,LOT-018,9.07,9.147,9.036,9.039,NORMAL,
COMP-00174,LOT-018,9.122,9.16,9.165,9.188,NORMAL,
COMP-00175,LOT-018,9.354,9.316,9.434,9.312,NORMAL,
COMP-00176,LOT-018,9.063,9.058,9.149,9.076,NORMAL,
COMP-00177,LOT-018,9.555,9.521,9.657,9.628,NORMAL,
COMP-00178,LOT-018,9.516,9.536,9.474,9.598,NORMAL,
COMP-00179,LOT-018,9.648,9.577,9.71,9.65,NORMAL,
COMP-00180,LOT-018,9.297,9.611,13.443,21.025,ANOMALY,Random Failure
COMP-00181,LOT-019,9.551,9.525,9.653,9.581,NORMAL,
COMP-00182,LOT-019,9.633,9.979,12.246,18.592,ANOMALY,Random Failure
COMP-00183,LOT-019,9.529,9.808,12.413,20.274,ANOMALY,Random Failure
COMP-00184,LOT-019,9.512,9.489,9.644,9.647,NORMAL,
COMP-00185,LOT-019,9.504,9.605,9.503,9.49,NORMAL,
COMP-00186,LOT-019,9.707,9.798,9.768,9.678,NORMAL,
COMP-00187,LOT-019,9.805,9.756,9.805,9.984,NORMAL,
COMP-00188,LOT-019,9.578,9.628,9.728,9.576,NORMAL,
COMP-00189,LOT-019,9.851,9.945,9.875,10.027,NORMAL,
COMP-00190,LOT-019,9.621,9.587,9.765,9.777,NORMAL,
COMP-00191,LOT-020,9.789,13.207,15.752,20.252,ANOMALY,Infant Mortality
COMP-00192,LOT-020,9.795,13.349,15.752,20.178,ANOMALY,Early Life Failure
COMP-00193,LOT-020,9.632,9.637,9.653,9.673,NORMAL,
COMP-00194,LOT-020,9.831,9.765,9.959,9.975,NORMAL,
COMP-00195,LOT-020,9.156,9.227,9.122,9.125,NORMAL,
COMP-00196,LOT-020,9.515,9.529,9.642,9.501,NORMAL,
COMP-00197,LOT-020,9.392,9.405,9.513,9.526,NORMAL,
COMP-00198,LOT-020,9.875,9.96,10.006,9.873,NORMAL,
COMP-00199,LOT-020,9.184,9.115,9.189,9.192,NORMAL,
COMP-00200,LOT-020,9.36,9.345,9.396,9.415,NORMAL,
COMP-00201,LOT-021,9.594,11.742,15.144,19.029,ANOMALY,Infant Mortality
COMP-00202,LOT-021,9.857,9.829,9.839,9.854,NORMAL,
COMP-00203,LOT-021,9.27,9.293,9.384,9.39,NORMAL,
COMP-00204,LOT-021,9.634,9.576,9.623,9.73,NORMAL,
COMP-00205,LOT-021,9.783,9.785,9.931,9.947,NORMAL,
COMP-00206,LOT-021,9.741,9.787,9.822,9.886,NORMAL,
COMP-00207,LOT-021,9.587,9.62,9.713,9.657,NORMAL,
COMP-00208,LOT-021,9.155,9.149,9.275,9.105,NORMAL,
COMP-00209,LOT-021,9.148,9.142,9.119,9.103,NORMAL,
COMP-00210,LOT-021,9.14,9.228,9.2,9.257,NORMAL,
COMP-00211,LOT-022,9.491,9.411,9.612,9.477,NORMAL,
COMP-00212,LOT-022,9.416,13.414,16.753,21.338,ANOMALY,Early Life Failure
COMP-00213,LOT-022,9.421,9.457,9.387,9.588,NORMAL,
COMP-00214,LOT-022,9.807,9.86,9.812,9.797,NORMAL,
COMP-00215,LOT-022,9.572,9.587,9.705,9.714,NORMAL,
COMP-00216,LOT-022,9.579,9.525,9.629,9.681,NORMAL,
COMP-00217,LOT-022,9.525,12.211,15.438,20.279,ANOMALY,Wear-out
COMP-00218,LOT-022,9.785,9.781,9.792,9.803,NORMAL,
COMP-00219,LOT-022,9.757,9.855,9.882,9.853,NORMAL,
COMP-00220,LOT-022,9.178,11.619,16.236,20.733,ANOMALY,Early Life Failure
COMP-00221,LOT-023,9.293,9.262,9.266,9.448,NORMAL,
COMP-00222,LOT-023,9.565,9.574,9.679,9.577,NORMAL,
COMP-00223,LOT-023,9.664,9.737,9.783,9.731,NORMAL,
COMP-00224,LOT-023,9.323,9.265,9.372,9.346,NORMAL,
COMP-00225,LOT-023,9.488,9.806,12.496,21.123,ANOMALY,Random Failure
COMP-00226,LOT-023,9.349,9.316,9.411,9.482,NORMAL,
COMP-00227,LOT-023,9.404,12.501,16.137,19.481,ANOMALY,Early Life Failure
COMP-00228,LOT-023,9.176,9.096,9.2,9.352,NORMAL,
COMP-00229,LOT-023,9.663,9.753,9.671,9.788,NORMAL,
COMP-00230,LOT-023,9.859,9.957,9.937,9.9,NORMAL,
COMP-00231,LOT-024,9.788,9.878,9.933,9.755,NORMAL,
COMP-00232,LOT-024,9.118,12.99,15.922,20.849,ANOMALY,Early Life Failure
COMP-00233,LOT-024,9.933,12.04,14.966,20.856,ANOMALY,Wear-out
COMP-00234,LOT-024,9.464,11.929,15.502,21.096,ANOMALY,Wear-out
COMP-00235,LOT-024,9.417,9.419,9.443,9.452,NORMAL,
COMP-00236,LOT-024,9.561,11.626,16.252,21.44,ANOMALY,Infant Mortality
COMP-00237,LOT-024,9.612,9.601,9.73,9.719,NORMAL,
COMP-00238,LOT-024,9.337,9.371,9.476,9.396,NORMAL,
COMP-00239,LOT-024,9.315,13.369,15.797,20.304,ANOMALY,Early Life Failure
COMP-00240,LOT-024,9.794,9.8,9.827,9.916,NORMAL,
COMP-00241,LOT-025,9.146,9.142,9.202,9.252,NORMAL,
COMP-00242,LOT-025,9.099,9.202,9.064,9.203,NORMAL,
COMP-00243,LOT-025,9.759,9.856,9.806,9.825,NORMAL,
COMP-00244,LOT-025,9.781,9.813,9.906,9.889,NORMAL,
COMP-00245,LOT-025,9.153,9.241,9.158,9.194,NORMAL,
COMP-00246,LOT-025,9.547,12.267,15.26,19.623,ANOMALY,Early Life Failure
COMP-00247,LOT-025,9.687,9.785,9.784,9.668,NORMAL,
COMP-00248,LOT-025,9.445,9.488,9.456,9.62,NORMAL,
COMP-00249,LOT-025,9.365,9.437,9.345,9.465,NORMAL,
COMP-00250,LOT-025,9.548,9.633,9.51,9.584,NORMAL,
COMP-00251,LOT-026,9.584,9.603,9.654,9.578,NORMAL,
COMP-00252,LOT-026,9.608,9.699,9.674,9.598,NORMAL,
COMP-00253,LOT-026,9.755,12.977,15.086,21.782,ANOMALY,Wear-out
COMP-00254,LOT-026,9.355,9.452,9.319,9.534,NORMAL,
COMP-00255,LOT-026,9.575,13.016,14.789,20.62,ANOMALY,Wear-out
COMP-00256,LOT-026,9.17,9.241,9.183,9.329,NORMAL,
COMP-00257,LOT-026,9.267,13.134,16.818,19.548,ANOMALY,Infant Mortality
COMP-00258,LOT-026,9.073,12.124,16.203,20.765,ANOMALY,Wear-out
COMP-00259,LOT-026,9.865,9.834,9.869,10.013,NORMAL,
COMP-00260,LOT-026,9.525,13.07,15.477,21.916,ANOMALY,Infant Mortality
COMP-00261,LOT-027,9.765,9.841,9.722,9.758,NORMAL,
COMP-00262,LOT-027,9.525,9.613,9.567,9.631,NORMAL,
COMP-00263,LOT-027,9.355,12.812,16.019,20.359,ANOMALY,Wear-out
COMP-00264,LOT-027,9.846,9.911,9.827,9.851,NORMAL,
COMP-00265,LOT-027,9.196,13.125,15.201,20.816,ANOMALY,Wear-out
COMP-00266,LOT-027,9.898,12.709,16.099,21.031,ANOMALY,Infant Mortality
COMP-00267,LOT-027,9.351,13.147,14.815,19.02,ANOMALY,Wear-out
COMP-00268,LOT-027,9.371,11.938,16.458,20.964,ANOMALY,Infant Mortality
COMP-00269,LOT-027,9.58,9.565,9.598,9.744,NORMAL,
COMP-00270,LOT-027,9.553,12.024,16.054,21.765,ANOMALY,Infant Mortality
COMP-00271,LOT-028,9.788,9.857,9.844,9.89,NORMAL,
COMP-00272,LOT-028,9.265,9.361,9.383,9.4,NORMAL,
COMP-00273,LOT-028,9.816,12.169,14.536,20.357,ANOMALY,Infant Mortality
COMP-00274,LOT-028,9.741,12.28,15.769,20.294,ANOMALY,Early Life Failure
COMP-00275,LOT-028,9.622,9.694,9.58,9.755,NORMAL,
COMP-00276,LOT-028,9.647,9.703,9.617,9.636,NORMAL,
COMP-00277,LOT-028,9.438,9.47,9.502,9.53,NORMAL,
COMP-00278,LOT-028,9.61,9.675,14.484,19.871,ANOMALY,Random Failure
COMP-00279,LOT-028,9.121,9.044,9.121,9.283,NORMAL,
COMP-00280,LOT-028,9.751,9.852,9.824,9.799,NORMAL,
COMP-00281,LOT-029,9.156,11.547,15.83,19.455,ANOMALY,Early Life Failure
COMP-00282,LOT-029,9.051,12.762,15.816,20.792,ANOMALY,Infant Mortality
COMP-00283,LOT-029,9.476,9.57,9.519,9.441,NORMAL,
COMP-00284,LOT-029,9.328,9.506,14.444,21.71,ANOMALY,Random Failure
COMP-00285,LOT-029,9.226,12.991,16.033,19.499,ANOMALY,Wear-out
COMP-00286,LOT-029,9.194,12.85,16.95,21.297,ANOMALY,Infant Mortality
COMP-00287,LOT-029,9.459,12.152,14.089,21.872,ANOMALY,Early Life Failure
COMP-00288,LOT-029,9.166,9.255,9.16,9.326,NORMAL,
COMP-00289,LOT-029,9.527,9.608,9.659,9.64,NORMAL,
COMP-00290,LOT-029,9.696,9.655,9.679,9.835,NORMAL,
COMP-00291,LOT-030,9.874,9.848,10.002,9.898,NORMAL,
COMP-00292,LOT-030,9.528,9.577,9.539,9.641,NORMAL,
COMP-00293,LOT-030,9.497,9.465,9.626,9.59,NORMAL,
COMP-00294,LOT-030,9.162,9.087,9.194,9.19,NORMAL,
COMP-00295,LOT-030,9.353,9.35,9.446,9.5,NORMAL,
COMP-00296,LOT-030,9.067,9.028,9.107,9.08,NORMAL,
COMP-00297,LOT-030,9.518,12.711,14.942,20.458,ANOMALY,Wear-out
COMP-00298,LOT-030,9.299,9.275,9.312,9.341,NORMAL,
COMP-00299,LOT-030,9.219,12.835,15.018,20.577,ANOMALY,Early Life Failure
COMP-00300,LOT-030,9.279,11.91,14.42,21.576,ANOMALY,Wear-out
COMP-00301,LOT-031,9.234,9.166,9.247,9.26,NORMAL,
COMP-00302,LOT-031,9.537,9.548,9.641,9.539,NORMAL,
COMP-00303,LOT-031,9.409,12.085,14.543,20.201,ANOMALY,Wear-out
COMP-00304,LOT-031,9.819,9.754,9.881,9.919,NORMAL,
COMP-00305,LOT-031,9.738,9.705,9.796,9.851,NORMAL,
COMP-00306,LOT-031,9.185,9.124,9.156,9.33,NORMAL,
COMP-00307,LOT-031,9.893,9.892,9.904,9.966,NORMAL,
COMP-00308,LOT-031,9.174,13.069,15.046,20.14,ANOMALY,Infant Mortality
COMP-00309,LOT-031,9.891,9.831,9.904,9.952,NORMAL,
COMP-00310,LOT-031,9.787,9.835,9.876,9.907,NORMAL,
COMP-00311,LOT-032,9.232,9.483,13.661,20.109,ANOMALY,Random Failure
COMP-00312,LOT-032,9.852,9.866,9.973,9.841,NORMAL,
COMP-00313,LOT-032,9.855,12.77,15.735,20.711,ANOMALY,Wear-out
COMP-00314,LOT-032,9.666,9.598,9.721,9.725,NORMAL,
COMP-00315,LOT-032,9.813,9.931,9.932,9.772,NORMAL,
COMP-00316,LOT-032,9.524,9.545,9.593,9.645,NORMAL,
COMP-00317,LOT-032,9.716,9.752,9.765,9.787,NORMAL,
COMP-00318,LOT-032,9.133,12.381,16.589,19.879,ANOMALY,Wear-out
COMP-00319,LOT-032,9.316,9.392,9.268,9.456,NORMAL,
COMP-00320,LOT-032,9.558,9.771,13.401,20.962,ANOMALY,Random Failure
COMP-00321,LOT-033,9.583,9.514,9.6,9.683,NORMAL,
COMP-00322,LOT-033,9.468,12.162,14.831,20.403,ANOMALY,Wear-out
COMP-00323,LOT-033,9.273,9.239,9.384,9.448,NORMAL,
COMP-00324,LOT-033,9.623,12.421,15.384,20.563,ANOMALY,Infant Mortality
COMP-00325,LOT-033,9.82,9.814,9.968,9.996,NORMAL,
COMP-00326,LOT-033,9.692,9.67,9.737,9.832,NORMAL,
COMP-00327,LOT-033,9.453,9.559,9.517,9.429,NORMAL,
COMP-00328,LOT-033,9.192,12.559,14.472,21.645,ANOMALY,Early Life Failure
COMP-00329,LOT-033,9.363,9.474,9.464,9.408,NORMAL,
COMP-00330,LOT-033,9.484,12.705,14.607,20.862,ANOMALY,Wear-out
COMP-00331,LOT-034,9.449,9.408,9.548,9.619,NORMAL,
COMP-00332,LOT-034,9.773,9.854,9.725,9.753,NORMAL,
COMP-00333,LOT-034,9.704,9.697,9.773,9.838,NORMAL,
COMP-00334,LOT-034,9.301,9.365,9.305,9.289,NORMAL,
COMP-00335,LOT-034,9.91,12.285,14.781,19.511,ANOMALY,Wear-out
COMP-00336,LOT-034,9.178,13.195,15.362,21.278,ANOMALY,Infant Mortality
COMP-00337,LOT-034,9.331,9.278,9.409,9.288,NORMAL,
COMP-00338,LOT-034,9.07,9.042,9.1,9.127,NORMAL,
COMP-00339,LOT-034,9.629,9.661,9.734,9.71,NORMAL,
COMP-00340,LOT-034,9.565,11.841,14.547,20.859,ANOMALY,Early Life Failure
COMP-00341,LOT-035,9.259,12.922,15.02,21.947,ANOMALY,Wear-out
COMP-00342,LOT-035,9.401,9.455,9.485,9.403,NORMAL,
COMP-00343,LOT-035,9.126,9.061,9.17,9.257,NORMAL,
COMP-00344,LOT-035,9.78,11.8,14.792,21.042,ANOMALY,Wear-out
COMP-00345,LOT-035,9.406,9.371,9.407,9.441,NORMAL,
COMP-00346,LOT-035,9.166,9.277,9.295,9.326,NORMAL,
COMP-00347,LOT-035,9.514,9.501,9.475,9.543,NORMAL,
COMP-00348,LOT-035,9.521,9.485,9.533,9.591,NORMAL,
COMP-00349,LOT-035,9.733,9.676,9.864,9.872,NORMAL,
COMP-00350,LOT-035,9.578,9.65,9.682,9.621,NORMAL,
COMP-00351,LOT-036,9.626,9.556,9.66,9.719,NORMAL,
COMP-00352,LOT-036,9.761,9.803,9.858,9.929,NORMAL,
COMP-00353,LOT-036,9.487,13.008,15.562,20.964,ANOMALY,Wear-out
COMP-00354,LOT-036,9.871,9.971,9.996,9.908,NORMAL,
COMP-00355,LOT-036,9.213,9.175,9.18,9.171,NORMAL,
COMP-00356,LOT-036,9.757,9.703,9.857,9.811,NORMAL,
COMP-00357,LOT-036,9.391,9.394,9.423,9.373,NORMAL,
COMP-00358,LOT-036,9.841,9.795,9.955,9.851,NORMAL,
COMP-00359,LOT-036,9.814,12.104,15.623,21.467,ANOMALY,Early Life Failure
COMP-00360,LOT-036,9.15,9.206,9.135,9.125,NORMAL,
COMP-00361,LOT-037,9.326,9.338,9.361,9.336,NORMAL,
COMP-00362,LOT-037,9.116,9.207,9.14,9.175,NORMAL,
COMP-00363,LOT-037,9.74,9.683,9.887,9.706,NORMAL,
COMP-00364,LOT-037,9.312,12.24,15.414,19.705,ANOMALY,Wear-out
COMP-00365,LOT-037,9.853,13.425,15.558,19.293,ANOMALY,Infant Mortality
